
Part,Section,Content
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",11,"Who are competent to contract.— Every person is competent to contract who is of the age of majority according to the law to which he is subject, and who is of sound mind, and is not disqualified from contracting by any law to which he is subject."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",12,"What is a sound mind for the purposes of contracting.— A person is said to be of sound mind for the purpose of making a contract, if, at the time when he makes it, he is capable of understanding it and of forming a rational judgment as to its effect upon his interests. A person who is usually of unsound mind, but occasionally of sound mind, may make a contract when he is of sound mind. A person who is usually of sound mind, but occasionally of unsound mind, may not make a contract when he is of unsound mind."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",13,"'Consent' defined.— Two or more persons are said to consent when they agree upon the same thing in the same sense."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",14,"'Free consent' defined.— Consent is said to be free when it is not caused by— (1) coercion, as defined in section 15, or (2) undue influence, as defined in section 16, or (3) fraud, as defined in section 17, or (4) misrepresentation, as defined in section 18, or (5) mistake, subject to the provisions of sections 20, 21 and 22. Consent is said to be so caused when it would not have been given but for the existence of such coercion, undue influence, fraud, misrepresentation or mistake."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",15,"'Coercion' defined.— 'Coercion' is the committing, or threatening to commit, any act forbidden by the Indian Penal Code (45 of 1860) or the unlawful detaining, or threatening to detain, any property, to the prejudice of any person whatever, with the intention of causing any person to enter into an agreement. Explanation.— It is immaterial whether the Indian Penal Code (45 of 1860) is or is not in force in the place where the coercion is employed."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",16,"'Undue influence' defined.— (1) A contract is said to be induced by 'undue influence' where the relations subsisting between the parties are such that one of the parties is in a position to dominate the will of the other and uses that position to obtain an unfair advantage over the other. (2) In particular and without prejudice to the generality of the foregoing principle, a person is deemed to be in a position to dominate the will of another— (a) where he holds a real or apparent authority over the other, or where he stands in a fiduciary relation to the other; or (b) where he makes a contract with a person whose mental capacity is temporarily or permanently affected by reason of age, illness, or mental or bodily distress. (3) Where a person who is in a position to dominate the will of another, enters into a contract with him, and the transaction appears, on the face of it or on the evidence adduced, to be unconscionable, the burden of proving that such contract was not induced by undue influence shall lie upon the person in a position to dominate the will of the other. Nothing in this sub-section shall affect the provisions of section 111 of the Indian Evidence Act, 1872 (1 of 1872)."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",17,"'Fraud' defined.— 'Fraud' means and includes any of the following acts committed by a party to a contract, or with his connivance, or by his agent, with intent to deceive another party thereto of his agent, or to induce him to enter into the contract:— (1) the suggestion, as a fact, of that which is not true, by one who does not believe it to be true; (2) the active concealment of a fact by one having knowledge or belief of the fact; (3) a promise made without any intention of performing it; (4) any other act fitted to deceive; (5) any such act or omission as the law specially declares to be fraudulent. Explanation.— Mere silence as to facts likely to affect the willingness of a person to enter into a contract is not fraud, unless the circumstances of the case are such that, regard being had to them, it is the duty of the person keeping silence to speak, or unless his silence is, in itself, equivalent to speech."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",18,"'Misrepresentation' defined.— 'Misrepresentation' means and includes— (1) the positive assertion, in a manner not warranted by the information of the person making it, of that which is not true, though he believes it to be true; (2) any breach of duty which, without an intent to deceive, gains an advantage to the person committing it, or any one claiming under him; by misleading another to his prejudice, or to the prejudice of any one claiming under him; (3) causing, however innocently, a party to an agreement, to make a mistake as to the substance of the thing which is the subject of the agreement."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",19,"Voidability of agreements without free consent.— When consent to an agreement is caused by coercion, fraud or misrepresentation, the agreement is a contract voidable at the option of the party whose consent was so caused. A party to a contract whose consent was caused by fraud or misrepresentation, may, if he thinks fit, insist that the contract shall be performed, and that he shall be put in the position in which he would have been if the representations made had been true. Exception.— If such consent was caused by misrepresentation or by silence, fraudulent within the meaning of section 17, the contract, nevertheless, is not voidable, if the party whose consent was so caused had the means of discovering the truth with ordinary diligence. Explanation.— A fraud or misrepresentation which did not cause the consent to a contract of the party on whom such fraud was practised, or to whom such misrepresentation was made, does not render a contract voidable."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",19A,"Power to set aside contract induced by undue influence.— When consent to an agreement is caused by undue influence, the agreement is a contract voidable at the option of the party whose consent was so caused. Any such contract may be set aside either absolutely or, if the party who was entitled to avoid it has received any benefit thereunder, upon such terms and conditions as to the Court may seem just."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",20,"Agreement void where both parties are under mistake as to matter of fact.— Where both the parties to an agreement are under a mistake as to a matter of fact essential to the agreement, the agreement is void. Explanation.— An erroneous opinion as to the value of the thing which forms the subject-matter of the agreement, is not to be deemed a mistake as to a matter of fact."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",21,"Effect of mistakes as to law.— A contract is not voidable because it was caused by a mistake as to any law in force in [India]; but a mistake as to a law not in force in [India] has the same effect as a mistake of fact."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",22,"Contract caused by mistake of one party as to matter of fact.— A contract is not voidable merely because it was caused by one of the parties to it being under a mistake as to a matter of fact."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS",23,"What considerations and objects are lawful, and what not.— The consideration or object of an agreement is lawful, unless— it is forbidden by law; or is of such a nature that if permitted, it would defeat the provisions of any law; or is fraudulent; or involves or implies injury to the person or property of another; or the Court regards it as immoral, or opposed to public policy. In each of these cases, the consideration or object of an agreement is said to be unlawful. Every agreement of which the object or consideration is unlawful is void."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",24,"Agreements void, if considerations and objects unlawful in part.— If any part of a single consideration for one or more objects, or any one or any part of any one of several considerations for a single object, is unlawful, the agreement is void."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",25,"Agreement without consideration, void, unless it is in writing and registered, or is a promise to compensate for something done, or is a promise to pay a debt barred by limitation law.— An agreement made without consideration is void, unless— (1) it is expressed in writing and registered under the law for the time being in force for the registration of [documents], and is made on account of natural love and affection between parties standing in a near relation to each other; or unless (2) it is a promise to compensate, wholly or in part, a person who has already voluntarily done something for the promisor, or something which the promisor was legally compellable to do; or unless; (3) it is a promise, made in writing and signed by the person to be charged therewith, or by his agent generally or specially authorized in that behalf, to pay wholly or in part a debt of which the creditor might have enforced payment but for the law for the limitation of suits. In any of these cases, such an agreement is a contract. Explanation 1.— Nothing in this section shall affect the validity, as between the donor and donee, of any gift actually made. Explanation 2.— An agreement to which the consent of the promisor is freely given is not void merely because the consideration is inadequate; but the inadequacy of the consideration may be taken into account by the Court in determining the question whether the consent of the promisor was freely given."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",26,"Agreement in restraint of marriage, void.— Every agreement in restraint of the marriage of any person, other than a minor, is void."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",27,"Agreement in restraint of trade, void.— Every agreement by which any one is restrained from exercising a lawful profession, trade or business of any kind, is to that extent void. Exception 1.— Saving of agreement not to carry on business of which good-will is sold.— One who sells the good-will of a business may agree with the buyer to refrain from carrying on a similar business, within specified local limits, so long as the buyer, or any person deriving title to the good-will from him, carries on a like business therein, provided that such limits appear to the Court reasonable, regard being had to the nature of the business."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",28,"Agreements in restraint of legal proceedings, void.— Every agreement,— (a) by which any party thereto is restricted absolutely from enforcing his rights under or in respect of any contract, by the usual legal proceedings in the ordinary tribunals, or which limits the time within which he may thus enforce his rights; or (b) which extinguishes the rights of any party thereto, or discharges any party thereto, from any liability, under or in respect of any contract on the expiry of a specified period so as to restrict any party from enforcing his rights, is void to the extent. Exception 1.— Saving of contract to refer to arbitration dispute that may arise.— This section shall not render illegal a contract, by which two or more persons agree that any dispute which may arise between them in respect of any subject or class of subjects shall be referred to arbitration, and that only the amount awarded in such arbitration shall be recoverable in respect of the dispute so referred. Exception 2.— Saving of contract to refer questions that have already arisen.— Nor shall this section render illegal any contract in writing, by which two or more persons agree to refer to arbitration any question between them which has already arisen, or affect any provision of any law in force for the time being as to references to arbitration. Exception 3.— Saving of a guarantee agreement of a bank or a financial institution.— This section shall not render illegal a contract in writing by which any bank or financial institution stipulate a term in a guarantee or any agreement making a provision for guarantee for extinguishment of the rights or discharge of any party thereto from any liability under or in respect of such guarantee or agreement on the expiry of a specified period which is not less than one year from the date of occurring or non-occurring of a specified event for extinguishment or discharge of such party from the said liability."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",29,"Agreements void for uncertainty.— Agreements, the meaning of which is not certain, or capable of being made certain, are void."
"CHAPTER II : OF CONTRACTS, VOIDABLE CONTRACTS AND VOID AGREEMENTS Void agreements",30,"Agreements by way of wager void.— Agreements by way of wager are void; and no suit shall be brought for recovering anything alleged to be won on any wager, or entrusted to any person to abide the result of any game or other uncertain event on which any wager is made. Exception in favour of certain prizes for horse-racing.— This section shall not be deemed to render unlawful a subscription or contribution, or agreement to subscribe or contribute, made or entered into for or toward any plate, prize or sum of money, of the value or amount of five hundred rupees or upwards, to be awarded to the winner or winners of any horse-race. Section 294A of the Indian Penal Code not affected.— Nothing in this section shall be deemed to legalize any transaction connected with horse-racing, to which the provisions of section 294A of the Indian Penal Code (45 of 1860) apply."
CHAPTER III : OF CONTINGENT CONTRACTS,31,"'Contingent contract' defined.—A “contingent contract is a contract to do or not to do something, if some event, collateral to such contract, does or does not happen."
CHAPTER III : OF CONTINGENT CONTRACTS,32,"Enforcement of contracts contingent on an event happening.—Contingent contracts to do or not to do anything if an uncertain future event happens cannot be enforced by law unless and until that event has happened. If the event becomes impossible, such contracts become void."
CHAPTER III : OF CONTINGENT CONTRACTS,33,"Enforcement of contracts contingent on an event not happening.—Contingent contracts to do or not to do anything if an uncertain future event does not happen can be enforced when the happening of that event becomes impossible, and not before"
CHAPTER III : OF CONTINGENT CONTRACTS,34,"When event on which contract is contingent to be deemed impossible, if it is the future conduct of a living person.—If the future event on which a contract is contingent is the way in which a person will act at an unspecified time, the event shall be considered to become impossible when such person does anything which renders it impossible that he should so act within any definite time, or otherwise than under further contingencies"
CHAPTER III : OF CONTINGENT CONTRACTS,35,"When contracts become void which are contingent on happening of specified event within fixed time.—Contingent contracts to do or not to do anything if a specified uncertain event happens within a fixed time become void if, at the expiration of the time fixed, such event has not happened, or if, before the time fixed, such event becomes impossible. When contracts may be enforced, which are contingent on specified event not happening within fixed time.—Contingent contracts to do or not to do anything, if a specified uncertain event does not happen within a fixed time may be enforced by law when the time fixed has expired and such event has not happened or, before the time fixed has expired, if it becomes certain that such event will not happen."
CHAPTER III : OF CONTINGENT CONTRACTS,36,"Agreement contingent on impossible events void.—Contingent agreements to do or not to do anything, if an impossible event happens, are void, whether the impossibility of the event is known or not to the parties to the agreement at the time when it is made."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which must be performed,37,"Obligation of parties to contracts.—The parties to a contract must either perform, or offer to perform, their respective promises, unless such performance is dispensed with or excused under the provisions of this Act, or of any other law. Promises bind the representatives of the promisors in case of the death of such promisors before performance, unless a contrary intention appears from the contract."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which must be performed,38,"Effect of refusal to accept offer of performance.—Where a promisor has made an offer of performance to the promisee, and the offer has not been accepted, the promisor is not responsible for non-performance, nor does he thereby lose his rights under the contract. Every such offer must fulfil the following conditions:— (1) it must be unconditional; (2) it must be made at a proper time and place, and under such circumstances that the person to whom it is made may have a reasonable opportunity of ascertaining that the person by whom it is made is able and willing there and then to do the whole of what he is bound by his promise to do; (3) if the offer is an offer to deliver anything to the promisee, the promisee must have a reasonable opportunity of seeing that the thing offered is the thing which the promisor is bound by his promise to deliver. An offer to one of several joint promisees has the same legal consequences as an offer to all of them."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Contracts which must be performed,39,"Effect of refusal of party to perform promise wholly.—When a party to a contract has refused to perform, or disabled himself from performing, his promise in its entirety, the promisee may put an end to the contract, unless he has signified, by words or conduct, his acquiescence in its continuance."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS By whom contracts must be performedd,40,"Person by whom promise is to be performed.—If it appears from the nature of the case that it was the intention of the parties to any contract that any promise contained in it should be performed by the promisor himself, such promise must be performed by the promisor. In other cases, the promisor or his representatives may employ a competent person to perform it."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS By whom contracts must be performed,41,"Effect of accepting performance from third person.—When a promisee accepts performance of the promise from a third person, he cannot afterwards enforce it against the promisor."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS By whom contracts must be performed,42,"Devolution of joint liabilities.—When two or more persons have made a joint promise, then, unless a contrary intention appears by the contract, all such persons, during their joint lives, and, after the death of any of them, his representative jointly with the survivor or survivors, and, after the death of the last survivor, the representatives of all jointly, must fulfil the promise."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS By whom contracts must be performed,43,"Any one of joint promisors may be compelled to perform.—When two or more persons make a joint promise, the promisee may, in the absence of express agreement to the contrary, compel any 1[one or more] of such joint promisors to perform the whole of the promise. Each promisor may compel contribution.—Each of two or more joint promisors may compel every other joint promisor to contribute equally with himself to the performance of the promise, unless a contrary intention appears from the contract. Sharing of loss by default in contribution.—If any one of two or more joint promisors makes default in such contribution, the remaining joint promisors must bear the loss arising from such default in equal shares."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS By whom contracts must be performed,44,"Effect of release of one joint promisor.—Where two or more persons have made a joint promise, a release of one of such joint promisors by the promisee does not discharge the other joint promisor or joint promisors; neither does it free the joint promisors so released from responsibility to the other joint promisor or joint promisors."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS By whom contracts must be performed,45,"Devolution of joint rights.—When a person has made a promise to two or more persons jointly, then, unless a contrary intention appears from the contract, the right to claim performance rests, as between him and them, with them during their joint lives, and, after the death of any of them, with the representative of such deceased person jointly with the survivor or survivors, and, after the death of the last survivor, with the representatives of all jointly."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Time and place for performance,46,"Time for performance of promise, when no application is to be made and no time is specified.—Where, by the contract, a promisor is to perform his promise without application by the promisee, and no time for performance is specified, the engagement must be performed within a reasonable time."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Time and place for performance,47,"Time and place for performance of promise, where time is specified and no application to be made.—When a promise is to be performed on a certain day, and the promisor has undertaken to perform it without application by the promisee, the promisor may perform it at any time during the usual hours of business on such day and at the place at which the promise ought to be performed."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Time and place for performanced,48,"Application for performance on certain day to be at proper time and place.—When a promise is to be performed on a certain day, and the promisor has not undertaken to perform it without application by the promisee, it is the duty of the promisee to apply for performance at a proper place and within the usual hours of business."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Time and place for performance,49,"Place for performance of promise, where no application to be made and no place fixed for performance.—When a promise is to be performed without application by the promisee, and no place is fixed for the performance of it, it is the duty of the promisor to apply to the promisee to appoint a reasonable place for the performance of the promise, and to perform it at such place."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Time and place for performance,50,"Performance in manner or at time prescribed or sanctioned by promisee.—The performance of any promise may be made in any manner, or at any time which the promisee prescribes or sanctions."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,51,"Promisor not bound to perform, unless reciprocal promisee ready and willing to perform.— When a contract consists of reciprocal promises to be simultaneously performed, no promisor need perform his promise unless the promisee is ready and willing to perform his reciprocal promise. Illustrations: (a) A and B contract that A shall deliver goods to B to be paid for by B on delivery. A need not deliver the goods, unless B is ready and willing to pay for the goods on delivery. B need not pay for the goods, unless A is ready and willing to deliver them on payment. (b) A and B contract that A shall deliver goods to B at a price to be paid by instalments, the first instalment to be paid on delivery. A need not deliver, unless B is ready and willing to pay the first instalment on delivery. B need not pay the first instalment, unless A is ready and willing to deliver the goods on payment of the first instalment."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,52,"Order of performance of reciprocal promises.— Where the order in which reciprocal promises are to be performed is expressly fixed by the contract, they shall be performed in that order; and where the order is not expressly fixed by the contract, they shall be performed in that order which the nature of the transaction requires. Illustrations: (a) A contracts with B to build a house for B at a fixed price. A’s promise to build the house must be performed before B’s promise to pay for it. (b) A contracts with B to make over his stock-in-trade to B at a fixed price, and B promises to give security for the payment of the money. A’s promise need not be performed until the security is given, for the nature of the transaction requires that A should have security before he delivers up his stock."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,53,"Liability of party preventing event on which the contract is to take effect.— When a contract contains reciprocal promises, and one party to the contract prevents the other from performing his promise, the contract becomes voidable at the option of the party so prevented; and he is entitled to compensation from the other party for any loss which he may sustain in consequence of the non-performance of the contract. Illustration: A and B contract that B shall execute certain work for A for a thousand rupees. B is ready and willing to execute the work accordingly, but A prevents him from doing so. The contract is voidable at the option of B; and, if he elects to rescind it, he is entitled to recover from A compensation for any loss which he has incurred by its non-performance."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,54,"Effect of default as to that promise which should be first performed, in contract consisting of reciprocal promises.— When a contract consists of reciprocal promises, such that one of them cannot be performed, or that its performance cannot be claimed till the other has been performed, and the promisor of the promise last mentioned fails to perform it, such promisor cannot claim the performance of the reciprocal promise, and must make compensation to the other party to the contract for any loss which such other party may sustain by the non-performance of the contract. Illustrations: (a) A hires B’s ship to take in and convey, from Calcutta to the Mauritius, a cargo to be provided by A, B receiving a certain freight for its conveyance. A does not provide any cargo for the ship. A cannot claim the performance of B’s promise, and must make compensation to B for the loss which B sustains by the non-performance of the contract. (b) A contracts with B to execute certain builder’s work for a fixed price, B supplying the scaffolding and timber necessary for the work. B refuses to furnish any scaffolding or timber, and the work cannot be executed. A need not execute the work, and B is bound to make compensation to A for any loss caused to him by the non-performance of the contract. (c) A contracts with B to deliver to him, at a specified price, certain merchandise on board a ship which cannot arrive for a month, and B engages to pay for the merchandise within a week from the date of the contract. B does not pay within the week. A’s promise to deliver need not be performed, and B must make compensation. (d) A promises B to sell him one hundred bales of merchandise, to be delivered next day, and B promises A to pay for them within a month. A does not deliver according to his promise. B’s promise to pay need not be performed, and A must make compensation."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,55,"Effect of failure to perform at fixed time, in contract in which time is essential.— When a party to a contract promises to do a certain thing at or before a specified time, or certain things at or before specified times, and fails to do any such thing at or before the specified time, the contract, or so much of it as has not been performed, becomes voidable at the option of the promisee, if the intention of the parties was that time should be of the essence of the contract. Effect of such failure when time is not essential.— If it was not the intention of the parties that time should be of the essence of the contract, the contract does not become voidable by the failure to do such thing at or before the specified time; but the promisee is entitled to compensation from the promisor for any loss occasioned to him by such failure. Effect of acceptance of performance at time other than that agreed upon.— If, in case of a contract voidable on account of the promisor’s failure to perform his promise at the time agreed, the promisee accepts performance of such promise at any time other than that agreed, the promisee cannot claim compensation for any loss occasioned by the non-performance of the promise at the time agreed, unless, at the time of such acceptance, he gives notice to the promisor of his intention to do so. STATE AMENDMENT (Uttar Pradesh): In section 55 of the Principal Act, in the third paragraph, for the words 'unless at the time of such acceptance he gives notice to the promiser of his intention to do so', the words 'where at the time of such acceptance he has waived his right to do so' shall be substituted."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,56,"Agreement to do impossible act.— An agreement to do an act impossible in itself is void. Contract to do an act afterwards becoming impossible or unlawful.— A contract to do an act which, after the contract is made, becomes impossible, or, by reason of some event which the promisor could not prevent, unlawful, becomes void when the act becomes impossible or unlawful. Compensation for loss through non-performance of act known to be impossible or unlawful.— Where one person has promised to do something which he knew, or, with reasonable diligence, might have known, and which the promisee did not know, to be impossible or unlawful, such promisor must make compensation to such promisee for any loss which such promisee sustains through the non-performance of the promise. Illustrations: (a) A agrees with B to discover treasure by magic. The agreement is void. (b) A and B contract to marry each other. Before the time fixed for the marriage, A goes mad. The contract becomes void. (c) A contracts to marry B, being already married to C, and being forbidden by the law to which he is subject to practise polygamy, A must make compensation to B for the loss caused to her by the non-performance of his promise. (d) A contracts to take in cargo for B at a foreign port. A’s Government afterwards declares war against the country in which the port is situated. The contract becomes void when war is declared. (e) A contracts to act at a theatre for six months in consideration of a sum paid in advance by B. On several occasions A is too ill to act. The contract to act on those occasions becomes void."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,57,"Reciprocal promise to do things legal, and also other things illegal.— Where persons reciprocally promise, firstly, to do certain things which are legal, and, secondly, under specified circumstances, to do certain other things which are illegal, the first set of promises is a contract, but the second is a void agreement. Illustration: A and B agree that A shall sell B a house for 10,000 rupees, but that, if B uses it as a gambling house, he shall pay A 50,000 rupees for it. The first set of reciprocal promises, namely, to sell the house and to pay 10,000 rupees for it, is a contract. The second set is for an unlawful object, namely, that B may use the house as a gambling house, and is a void agreement."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Performance of reciprocal,58,"Alternative promise, one branch being illegal.— In the case of an alternative promise, one branch of which is legal and the other illegal, the legal branch alone can be enforced. Illustration: A and B agree that A shall pay B 1,000 rupees, for which B shall afterwards deliver to A either rice or smuggled opium. This is a valid contract to deliver rice, and a void agreement as to the opium."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Appropriation of payments,59,"Application of payment where debt to be discharged is indicated.— Where a debtor, owing several distinct debts to one person, makes a payment to him, either with express intimation, or under circumstances implying, that the payment is to be applied to the discharge of some particular debt, the payment, if accepted, must be applied accordingly. Illustrations: (a) A owes B, among other debts, 1,000 rupees upon a promissory note which falls due on the first June. He owes B no other debt of that amount. On the first June, A pays to B 1,000 rupees. The payment is to be applied to the discharge of the promissory note. (b) A owes to B, among other debts, the sum of 567 rupees. B writes to A and demands payment of this sum. A sends to B 567 rupees. This payment is to be applied to the discharge of the debt of which B had demanded payment."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Appropriation of payments,60,"Application of payment where debt to be discharged is not indicated.— Where the debtor has omitted to intimate and there are no other circumstances indicating to which debt the payment is to be applied, the creditor may apply it at his discretion to any lawful debt actually due and payable to him from the debtor, whether its recovery is or is not barred by the law in force for the time being as to the limitation of suits."
CHAPTER IV : OF THE PERFORMANCE OF CONTRACTS Appropriation of payments,61,"Application of payment where neither party appropriates.— Where neither party makes any appropriation, the payment shall be applied in discharge of the debts in order of time, whether they are or are not barred by the law in force for the time being as to the limitation of suits. If the debts are of equal standing, the payment shall be applied in discharge of each proportionably."
